accession,species,strain,assembly_level,n_protein,dltA,dltE,dltE_len,dltE_score,dltE_s90,dltE_s110,dltE_s130,mprF_long,mprF_short,localization
GCF_978042725.1,Lactobacillus jensenii,-,Contig,1617,1,1,311,110.0,1,1,0,0,1,C_CYTO
GCF_055451075.1,Lactobacillus jensenii,C0248G3,Contig,1575,1,1,311,110.0,1,1,0,0,1,C_CYTO
GCF_978043565.1,Lactobacillus jensenii,-,Contig,1559,1,1,311,110.0,1,1,0,0,1,C_CYTO
GCF_022456535.1,Lactobacillus jensenii,0795_578_1_1_MRSIHK11_S855-bin_1,Scaffold,1452,1,1,311,110.0,1,1,0,0,1,C_CYTO
GCF_055451035.1,Lactobacillus jensenii,C0248G4,Contig,1568,1,1,311,110.0,1,1,0,0,1,C_CYTO
GCF_021494985.1,Lactobacillus jensenii,UMB6889,Contig,1567,1,1,311,110.0,1,1,0,0,1,C_CYTO
GCF_027584115.1,Lactobacillus jensenii,C0089F6,Contig,1556,1,1,311,110.0,1,1,0,0,1,C_CYTO
GCF_027584175.1,Lactobacillus jensenii,C0089A1,Contig,1587,1,1,311,110.0,1,1,0,0,1,C_CYTO
GCF_055450115.1,Lactobacillus jensenii,C0257B4,Contig,1505,1,1,311,110.0,1,1,0,0,1,C_CYTO
GCF_007786085.1,Lactobacillus jensenii,UMB0034,Scaffold,1488,1,1,311,110.0,1,1,0,0,1,C_CYTO
GCF_027155915.1,Lactobacillus jensenii,C0034A3,Contig,1519,1,1,311,110.0,1,1,0,0,1,C_CYTO
GCF_027682595.1,Lactobacillus johnsonii,AF51-9b6A,Scaffold,1787,1,1,308,124.2,1,1,0,0,1,C_CYTO
GCF_978043205.1,Lactobacillus jensenii,-,Contig,1512,1,1,311,110.0,1,1,0,0,1,C_CYTO
GCF_033804045.1,Lactobacillus jensenii,UMB7383,Contig,1660,1,1,311,110.0,1,1,0,0,1,C_CYTO
GCF_021495105.1,Lactobacillus jensenii,UMB6690,Contig,1589,1,1,311,110.0,1,1,0,0,1,C_CYTO
GCF_027666205.1,Lactobacillus johnsonii,AM77-01b14,Scaffold,1617,1,1,308,120.2,1,1,0,0,1,C_CYTO
GCF_007786155.1,Lactobacillus jensenii,UMB1165,Scaffold,1607,1,1,311,110.0,1,1,0,0,1,C_CYTO
GCF_010586925.1,Lactobacillus johnsonii,G2A,Complete Genome,1866,1,1,308,128.4,1,1,0,0,1,C_CYTO
GCF_007785935.1,Lactobacillus jensenii,UMB8489,Scaffold,1556,1,0,,,0,0,0,0,1,D_dltE_absent
GCF_000091405.1,Lactobacillus johnsonii FI9785,FI9785,Complete Genome,1621,1,1,308,126.4,1,1,0,0,1,C_CYTO
GCF_060307195.1,Lactobacillus johnsonii,LBMFMA2C,Complete Genome,1821,1,1,308,123.2,1,1,0,0,1,C_CYTO
GCF_000498675.1,Lactobacillus johnsonii N6.2,N6.2,Complete Genome,1645,1,1,308,128.4,1,1,0,0,1,C_CYTO
GCF_022810665.1,Lactobacillus johnsonii,7409N31,Complete Genome,2008,1,1,308,129.4,1,1,0,0,1,C_CYTO
GCF_033704075.1,Lactobacillus johnsonii,KD1,Complete Genome,1651,1,1,308,120.7,1,1,0,0,1,C_CYTO
GCF_030218635.1,Lactobacillus jensenii,UMB0055,Contig,1490,1,1,311,110.0,1,1,0,0,1,C_CYTO
GCF_025191055.1,Lactobacillus johnsonii,CIRM-BIA 674,Contig,1625,1,1,308,122.4,1,1,0,0,1,C_CYTO
GCF_046581365.1,Lactobacillus johnsonii,GJ231,Complete Genome,1618,1,1,308,122.4,1,1,0,0,1,C_CYTO
GCF_022213385.1,Lactobacillus johnsonii,MR1,Complete Genome,1720,1,1,308,129.4,1,1,0,0,1,C_CYTO
GCF_978043835.1,Lactobacillus jensenii,-,Contig,1646,1,1,311,110.0,1,1,0,0,1,C_CYTO
GCF_034808125.1,Lactobacillus johnsonii,JNU3402,Contig,1910,1,1,308,121.8,1,1,0,0,1,C_CYTO
GCF_004684975.1,Lactobacillus johnsonii,Q1-7,Scaffold,2018,1,1,308,125.0,1,1,0,0,1,C_CYTO
GCF_002253185.1,Lactobacillus johnsonii,117x,Scaffold,1803,1,1,308,124.6,1,1,0,0,1,C_CYTO
GCF_003428395.1,Lactobacillus johnsonii,IDCC9203,Complete Genome,1730,1,1,308,122.4,1,1,0,0,1,C_CYTO
GCF_030237765.1,Lactobacillus johnsonii,C38,Contig,1683,1,1,308,122.4,1,1,0,0,1,C_CYTO
GCF_023483905.1,Lactobacillus johnsonii,PH-2,Scaffold,1710,1,1,308,124.7,1,1,0,0,1,C_CYTO
GCF_002269965.1,Lactobacillus johnsonii,UMNLJ114,Contig,1895,1,1,308,127.6,1,1,0,0,1,C_CYTO
GCF_038109155.1,Lactobacillus johnsonii,XZ17,Chromosome,1699,1,1,308,129.4,1,1,0,0,1,C_CYTO
GCF_039605655.1,Lactobacillus johnsonii,TCI250,Contig,1842,1,1,308,121.8,1,1,0,0,1,C_CYTO
GCF_018917265.1,Lactobacillus johnsonii,N16,Contig,1741,1,1,312,133.1,1,1,1,0,1,C_CYTO
GCF_910576225.1,Lactobacillus johnsonii,-,Contig,1781,1,1,308,128.5,1,1,0,0,1,C_CYTO
GCF_050847055.1,Lactobacillus johnsonii,TRM 1303,Contig,1954,1,1,308,124.1,1,1,0,0,1,C_CYTO
GCF_025191045.1,Lactobacillus johnsonii,CIRM-BIA 871,Contig,1627,1,1,308,122.4,1,1,0,0,1,C_CYTO
GCF_910574655.1,Lactobacillus johnsonii,-,Scaffold,1780,1,1,308,128.5,1,1,0,0,1,C_CYTO
GCF_902362355.2,Lactobacillus johnsonii,-,Scaffold,1771,1,1,308,128.5,1,1,0,0,1,C_CYTO
GCF_037546115.1,Lactobacillus johnsonii,TMW 1.142,Contig,1810,1,1,308,120.7,1,1,0,0,1,C_CYTO
GCF_025191025.1,Lactobacillus johnsonii,CIRM-BIA 900,Contig,1800,1,1,308,130.5,1,1,1,0,1,C_CYTO
GCF_020026475.1,Lactobacillus johnsonii,AER105,Contig,1678,1,1,308,123.9,1,1,0,0,1,C_CYTO
GCF_978044395.1,Lactobacillus johnsonii,-,Contig,1760,1,1,308,127.0,1,1,0,0,1,C_CYTO
GCF_002253165.1,Lactobacillus johnsonii,117q,Scaffold,1812,1,1,308,124.6,1,1,0,0,1,C_CYTO
GCF_041226605.1,Lactobacillus johnsonii,1-1,Scaffold,1770,1,1,308,129.4,1,1,0,0,1,C_CYTO
GCF_025190965.1,Lactobacillus johnsonii,CIRM-BIA 2080,Contig,1760,1,1,308,126.8,1,1,0,0,1,C_CYTO
GCF_009708135.1,Lactobacillus johnsonii,LL8,Contig,1963,1,1,308,128.4,1,1,0,0,1,C_CYTO
GCF_050314335.1,Lactobacillus johnsonii,SGI.100,Contig,1717,1,1,308,120.7,1,1,0,0,1,C_CYTO
GCF_978043885.1,Lactobacillus johnsonii,-,Contig,1762,1,1,308,127.0,1,1,0,0,1,C_CYTO
GCF_050314275.1,Lactobacillus johnsonii,SGI.105,Contig,1656,1,1,308,120.7,1,1,0,0,1,C_CYTO
GCF_050313855.1,Lactobacillus johnsonii,SGI.147,Contig,1688,1,1,308,126.7,1,1,0,0,1,C_CYTO
GCF_056485265.1,Lactobacillus delbrueckii subsp. bulgaricus,AY8,Complete Genome,1673,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_001888965.1,Lactobacillus delbrueckii subsp. allosunkii,JCM 17838,Complete Genome,1809,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_002270005.1,Lactobacillus johnsonii,UMNLJ50,Contig,1763,1,1,308,128.7,1,1,0,0,1,C_CYTO
GCF_003351805.1,Lactobacillus delbrueckii subsp. bulgaricus,L99,Complete Genome,1635,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_035757545.1,Lactobacillus delbrueckii subsp. bulgaricus,SCB0695,Complete Genome,1900,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_050314675.1,Lactobacillus johnsonii,SGI.084,Contig,1658,1,1,308,126.9,1,1,0,0,1,C_CYTO
GCF_050516295.1,Lactobacillus delbrueckii subsp. bulgaricus,CICC 6047,Complete Genome,1646,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_025946805.1,Lactobacillus delbrueckii,sunkii,Complete Genome,1850,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_044600755.1,Lactobacillus delbrueckii subsp. bulgaricus,1363,Complete Genome,1642,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_041514405.1,Lactobacillus delbrueckii subsp. lactis,L24754,Complete Genome,1836,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_045690285.1,Lactobacillus delbrueckii subsp. lactis,CKDB001,Complete Genome,1792,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_041514375.1,Lactobacillus delbrueckii subsp. lactis,L24756,Complete Genome,1751,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_002285775.1,Lactobacillus delbrueckii subsp. lactis,KCTC 3034,Complete Genome,1749,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_041514365.1,Lactobacillus delbrueckii subsp. lactis,L24790,Complete Genome,1816,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_042714215.1,Lactobacillus johnsonii,P8CEA12,Contig,1808,1,1,308,126.2,1,1,0,0,1,C_CYTO
GCF_044602765.1,Lactobacillus delbrueckii subsp. bulgaricus,771,Complete Genome,1631,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_054072835.1,Lactobacillus delbrueckii subsp. bulgaricus,HC1983,Complete Genome,1905,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_045033235.1,Lactobacillus delbrueckii subsp. bulgaricus,762,Contig,1632,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_050313755.1,Lactobacillus johnsonii,SGI.157,Contig,1684,1,1,308,126.7,1,1,0,0,1,C_CYTO
GCF_013370935.1,Lactobacillus delbrueckii subsp. bulgaricus,CBC-LB8,Scaffold,1658,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_000387565.1,Lactobacillus delbrueckii subsp. jakobsenii ZN7a-9 = DSM 26046,ZN7a-9,Contig,1625,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_021133935.1,Lactobacillus delbrueckii subsp. bulgaricus,CIRM BIA 657,Contig,1667,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_001888905.1,Lactobacillus delbrueckii subsp. lactis,KCCM 34717,Complete Genome,1746,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_021133995.1,Lactobacillus delbrueckii subsp. bulgaricus,FAM 22166,Scaffold,1660,1,0,,,0,0,0,0,1,D_dltE_absent
GCF_025193805.1,Lactobacillus delbrueckii subsp. bulgaricus,CIRM-BIA 1586,Contig,1659,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_001624905.1,Lactobacillus delbrueckii subsp. bulgaricus,Lb1-WT,Contig,1648,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_002142575.1,Lactobacillus delbrueckii subsp. delbrueckii,TUA4408L,Complete Genome,1766,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_045033255.1,Lactobacillus delbrueckii subsp. bulgaricus,371,Contig,1636,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_045033275.1,Lactobacillus delbrueckii subsp. bulgaricus,271,Contig,1687,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_045033155.1,Lactobacillus delbrueckii subsp. bulgaricus,1963b,Contig,1615,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_015377785.1,Lactobacillus delbrueckii,P3MRA,Complete Genome,1678,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_045033335.1,Lactobacillus delbrueckii subsp. bulgaricus,174,Contig,1636,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_027858045.1,Lactobacillus delbrueckii,lbd111,Contig,1726,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_021133755.1,Lactobacillus delbrueckii subsp. bulgaricus,CIRM BIA 2159,Scaffold,1683,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_021091115.1,Lactobacillus delbrueckii subsp. lactis,CIDCA 133,Complete Genome,1903,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_027681325.1,Lactobacillus delbrueckii,AF61-16pH5TA,Scaffold,1859,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_030270065.1,Lactobacillus delbrueckii subsp. bulgaricus,ME-901,Scaffold,1657,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_021229055.1,Lactobacillus delbrueckii subsp. bulgaricus,NBIMCC 8244 (187),Scaffold,1656,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_001434635.1,Lactobacillus delbrueckii subsp. lactis DSM 20072,DSM 20072,Scaffold,1755,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_025191945.1,Lactobacillus delbrueckii subsp. bulgaricus,CIRM-BIA 861,Contig,1676,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_045033175.1,Lactobacillus delbrueckii subsp. bulgaricus,1461,Contig,1654,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_001433875.1,Lactobacillus delbrueckii subsp. delbrueckii DSM 20074 = JCM 1012,DSM 20074,Scaffold,1613,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_025191905.1,Lactobacillus delbrueckii subsp. bulgaricus,CIRM-BIA 1579,Contig,1740,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_025186005.1,Lactobacillus delbrueckii,862,Contig,1753,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_045033195.1,Lactobacillus delbrueckii subsp. bulgaricus,872,Contig,1668,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_025191875.1,Lactobacillus delbrueckii subsp. bulgaricus,CIRM-BIA 1590,Contig,1699,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_025193765.1,Lactobacillus delbrueckii subsp. bulgaricus,CIRM-BIA 1380,Contig,1663,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_021600785.1,Lactobacillus delbrueckii,ME-783,Scaffold,2003,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_047462615.1,Lactobacillus delbrueckii,WS4,Scaffold,1761,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_029334925.1,Lactobacillus delbrueckii,Mehedi L4,Contig,1812,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_027857845.1,Lactobacillus delbrueckii,lbl333,Contig,1920,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_963920435.1,Lactobacillus delbrueckii,-,Scaffold,1892,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_027857885.1,Lactobacillus delbrueckii,lbl147,Contig,1871,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_045033315.1,Lactobacillus delbrueckii subsp. bulgaricus,261,Contig,1685,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_963920345.1,Lactobacillus delbrueckii,-,Scaffold,1854,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_021600625.1,Lactobacillus delbrueckii,ME-786,Scaffold,1885,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_026891255.1,Lactobacillus delbrueckii,LDEL-06,Contig,1914,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_001647065.1,Lactobacillus delbrueckii subsp. bulgaricus,LBB.B5,Contig,1690,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_030228765.1,Lactobacillus delbrueckii,UMB10309,Contig,1831,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_021600645.1,Lactobacillus delbrueckii,ME-785,Scaffold,1914,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_019583415.1,Lactobacillus delbrueckii,SW-B10,Contig,1636,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_025193865.1,Lactobacillus delbrueckii subsp. bulgaricus,CIRM-BIA 1581,Contig,1657,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_023893715.1,Lactobacillus delbrueckii,Lb200,Contig,1780,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_963920315.1,Lactobacillus delbrueckii,-,Scaffold,1895,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_963920365.1,Lactobacillus delbrueckii,-,Scaffold,1861,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_978043615.1,Lactobacillus delbrueckii,-,Contig,1879,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_902374335.2,Lactobacillus delbrueckii,-,Scaffold,1737,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_021134235.1,Lactobacillus delbrueckii subsp. lactis,NCIMB 701040,Scaffold,1911,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_978044475.1,Lactobacillus delbrueckii,-,Contig,1918,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_027857995.1,Lactobacillus delbrueckii,lbd93,Contig,1857,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_030226535.1,Lactobacillus delbrueckii,UMB0005,Contig,1911,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_042188245.1,Lactobacillus delbrueckii subsp. lactis,L24762,Contig,1761,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_021601185.1,Lactobacillus delbrueckii,ME-805,Scaffold,1870,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_021600545.1,Lactobacillus delbrueckii,ME-790,Scaffold,1842,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_048145195.1,Lactobacillus delbrueckii subsp. lactis,PR25,Contig,1858,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_021134395.1,Lactobacillus delbrueckii subsp. lactis,NCIMB 8183,Scaffold,1708,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_025193555.1,Lactobacillus delbrueckii subsp. lactis,CIRM-BIA 207,Contig,1861,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_021134315.1,Lactobacillus delbrueckii subsp. lactis,NCIMB 8964,Scaffold,1715,1,0,,,1,0,0,0,0,D_dltE_absent
GCF_021134035.1,Lactobacillus delbrueckii subsp. lactis,FAM 24850,Scaffold,1803,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_021134595.1,Lactobacillus delbrueckii subsp. lactis,CIRM BIA 1368,Scaffold,1861,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_021601085.1,Lactobacillus delbrueckii,ME-804,Scaffold,1973,1,0,,,0,0,0,0,1,D_dltE_absent
GCF_021600225.1,Lactobacillus delbrueckii,ME-807,Scaffold,1976,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_021134355.1,Lactobacillus delbrueckii subsp. lactis,NCIMB 700280,Scaffold,1814,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_042188965.1,Lactobacillus delbrueckii subsp. lactis,L11001,Contig,1796,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_042187655.1,Lactobacillus delbrueckii subsp. lactis,L24787,Contig,1796,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_021600405.1,Lactobacillus delbrueckii,ME-798,Scaffold,1869,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_021135195.1,Lactobacillus delbrueckii subsp. lactis,FAM 21745,Contig,1810,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_021135075.1,Lactobacillus delbrueckii subsp. lactis,FAM 21756,Contig,1844,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_021135595.1,Lactobacillus delbrueckii subsp. lactis,FAM 8520,Contig,1829,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_021134955.1,Lactobacillus delbrueckii subsp. lactis,FAM 21783,Scaffold,1825,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_021134745.1,Lactobacillus delbrueckii subsp. lactis,CIRM BIA 230,Scaffold,1873,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_042188435.1,Lactobacillus delbrueckii subsp. lactis,L24757,Contig,1770,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_042188945.1,Lactobacillus delbrueckii subsp. lactis,L10996,Contig,1788,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_021135405.1,Lactobacillus delbrueckii subsp. lactis,FAM 11129,Contig,1799,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_042188645.1,Lactobacillus delbrueckii subsp. lactis,L21781,Contig,1765,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_021229145.1,Lactobacillus delbrueckii subsp. lactis,NBIMCC 8250 (182),Scaffold,1834,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_017367535.1,Lactobacillus delbrueckii subsp. lactis,24781,Contig,1767,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_042188915.1,Lactobacillus delbrueckii subsp. lactis,L11010,Contig,1809,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_042188395.1,Lactobacillus delbrueckii subsp. lactis,L24755,Contig,1718,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_021135485.1,Lactobacillus delbrueckii subsp. lactis,FAM 10983,Scaffold,1874,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_042188365.1,Lactobacillus delbrueckii subsp. lactis,L24759,Contig,1763,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_054888255.1,Lactobacillus delbrueckii subsp. lactis,L13,Scaffold,1955,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_025127065.1,Lactobacillus delbrueckii subsp. lactis,CIRM-BIA 214,Contig,1789,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_017367555.1,Lactobacillus delbrueckii subsp. lactis,24779,Contig,1786,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_042188565.1,Lactobacillus delbrueckii subsp. lactis,L24751,Contig,1786,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_042188825.1,Lactobacillus delbrueckii subsp. lactis,L11024,Contig,1802,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_017367325.1,Lactobacillus delbrueckii subsp. lactis,24777,Contig,1759,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_042188325.1,Lactobacillus delbrueckii subsp. lactis,L24761,Contig,1644,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_021135135.1,Lactobacillus delbrueckii subsp. lactis,FAM 21754,Contig,1836,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_021134855.1,Lactobacillus delbrueckii subsp. lactis,FAM 22680,Contig,1702,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_042187565.1,Lactobacillus delbrueckii subsp. lactis,L24791,Contig,1755,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_030970755.1,Lactobacillus delbrueckii subsp. lactis,DRD-86,Scaffold,1783,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_042187605.1,Lactobacillus delbrueckii subsp. lactis,L24793,Contig,1844,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_030971265.1,Lactobacillus delbrueckii subsp. lactis,DRD-47,Scaffold,1786,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_042187435.1,Lactobacillus delbrueckii subsp. lactis,L24799,Contig,1768,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_021135235.1,Lactobacillus delbrueckii subsp. lactis,FAM 20408,Scaffold,1874,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_030971285.1,Lactobacillus delbrueckii subsp. lactis,DRD-16,Scaffold,1784,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_021134615.1,Lactobacillus delbrueckii subsp. lactis,CIRM BIA 267,Scaffold,1792,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_017367625.1,Lactobacillus delbrueckii subsp. lactis,12105,Scaffold,1812,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_026891475.1,Lactobacillus delbrueckii subsp. allosunkii,PR-7,Contig,1872,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_021134935.1,Lactobacillus delbrueckii subsp. lactis,FAM 22093,Scaffold,1726,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_030405925.1,Lactobacillus delbrueckii subsp. indicus,TY-11,Contig,1902,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_025191865.1,Lactobacillus delbrueckii subsp. lactis,CIRM-BIA 209,Contig,1805,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_042188695.1,Lactobacillus delbrueckii subsp. lactis,L21747,Scaffold,1853,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_021134835.1,Lactobacillus delbrueckii subsp. allosunkii,CIP 101810,Scaffold,1905,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_025193875.1,Lactobacillus delbrueckii subsp. lactis,CIRM-BIA 264,Contig,1789,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_026891265.1,Lactobacillus delbrueckii subsp. allosunkii,LDEL-09,Contig,1931,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_025193925.1,Lactobacillus delbrueckii subsp. lactis,CIRM-BIA 1377,Contig,1733,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_048145885.1,Lactobacillus delbrueckii subsp. allosunkii,LDEL04,Contig,1869,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_021134735.1,Lactobacillus delbrueckii subsp. lactis,CIRM BIA 233,Scaffold,1797,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_021134695.1,Lactobacillus delbrueckii subsp. lactis,CIRM BIA 234,Scaffold,1806,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_005886075.1,Lactobacillus paragasseri JV-V03,JV-V03,Complete Genome,1878,1,1,308,131.4,1,1,1,0,1,C_CYTO
GCF_001263315.1,Lactobacillus delbrueckii subsp. delbrueckii,KACC 13439,Contig,1609,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_021135575.1,Lactobacillus delbrueckii subsp. lactis,FAM 1200,Scaffold,1793,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_048145545.1,Lactobacillus delbrueckii subsp. allosunkii,PR05,Contig,1873,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_021600925.1,Lactobacillus delbrueckii subsp. allosunkii,NRIC 0767,Scaffold,1871,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_021134275.1,Lactobacillus delbrueckii subsp. lactis,NCIMB 700860,Scaffold,1840,1,0,,,0,0,0,0,1,D_dltE_absent
GCF_042187765.1,Lactobacillus delbrueckii subsp. lactis,L24774,Contig,1771,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_978042745.1,Lactobacillus paragasseri,-,Contig,1812,1,1,308,133.5,1,1,1,0,1,C_CYTO
GCF_048145305.1,Lactobacillus delbrueckii subsp. allosunkii,PR19,Contig,1873,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_052221085.1,Lactobacillus paragasseri,R3_770/9,Contig,1823,1,1,308,133.5,1,1,1,0,1,C_CYTO
GCF_025193685.1,Lactobacillus delbrueckii subsp. lactis,CIRM-BIA 1375,Contig,1704,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_048145285.1,Lactobacillus delbrueckii subsp. allosunkii,PR18,Contig,1879,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_048144905.1,Lactobacillus delbrueckii subsp. allosunkii,PR31,Contig,1871,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_035621675.1,Lactobacillus paragasseri,SYP-B4209,Complete Genome,1849,1,1,308,131.4,1,1,1,0,1,C_CYTO
GCF_978042765.1,Lactobacillus paragasseri,-,Contig,1747,1,1,308,131.9,1,1,1,0,1,C_CYTO
GCF_048144865.1,Lactobacillus delbrueckii subsp. allosunkii,PR32,Contig,1851,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_048145085.1,Lactobacillus delbrueckii subsp. allosunkii,PR26,Contig,1838,1,0,,,1,0,0,0,1,D_dltE_absent
GCF_048145245.1,Lactobacillus delbrueckii subsp. allosunkii,PR22,Contig,1775,1,0,,,1,0,0,0,1,D_dltE_absent
