protein_id,species,length,hmm_score,n_genomes,is_cluster_rep,TM,SP,topology,class
WP_128517642.1,Lacticaseibacillus paracasei,385,189.2,1,0,1,0,i7-28o,A_TM
WP_128529685.1,Lacticaseibacillus paracasei,385,192.2,1,0,1,0,i7-28o,A_TM
WP_128531038.1,Latilactobacillus curvatus,392,199.6,1,1,1,0,i7-25o,A_TM
WP_128537955.1,Lacticaseibacillus paracasei,385,191.2,2,0,1,0,i7-28o,A_TM
WP_128688523.1,Pediococcus acidilactici,382,173.6,4,0,0,Y,n9-20c24/25o,B_SP
WP_128704423.1,Enterococcus faecium,389,144.4,2,0,1,0,i12-38o,A_TM
WP_128736852.1,Pediococcus acidilactici,382,169.2,2,0,0,Y,n9-20c24/25o,B_SP
WP_129044780.1,Companilactobacillus metriopterae,354,197.1,1,1,0,Y,n7-18c27/28o,B_SP
WP_131501516.1,Lactobacillus crispatus,313,128.3,8,1,0,0,o,C_CYTO
WP_135352569.1,Lactobacillus johnsonii,308,125.0,2,0,0,0,o,C_CYTO
WP_135371292.1,Companilactobacillus suantsaicola,357,195.8,1,1,0,Y,n4-19c27/28o,B_SP
WP_135399903.1,Leuconostoc mesenteroides,380,134.5,5,0,1,0,i12-29o,A_TM
WP_136860942.1,Lactobacillus amylovorus,313,129.9,1,1,0,0,o,C_CYTO
WP_136904306.1,Latilactobacillus curvatus,382,196.2,1,0,0,0,o,C_CYTO
WP_137612449.1,Companilactobacillus huachuanensis,358,219.4,2,1,0,Y,n4-16c25/26o,B_SP
WP_138130318.1,Lacticaseibacillus zeae,376,187.6,1,1,0,Y,n3-15c20/21o,B_SP
WP_138428317.1,Pediococcus pentosaceus,369,149.7,8,0,1,0,i5-23o,A_TM
WP_139961597.1,Levilactobacillus brevis,392,269.7,1,0,0,Y,n5-16c23/24o,B_SP
WP_139987656.1,Leuconostoc citreum,378,151.9,4,1,1,0,i12-35o,A_TM
WP_140682421.1,Leuconostoc mesenteroides,380,134.2,1,0,1,0,i12-29o,A_TM
WP_141266388.1,Leuconostoc mesenteroides,380,132.5,1,0,1,0,i12-29o,A_TM
WP_141373590.1,Levilactobacillus brevis,392,276.8,2,1,1,0,o6-26i,A_TM
WP_142501131.1,Latilactobacillus sakei,383,174.3,7,0,0,Y,n8-19c37/38o,B_SP
WP_144231360.1,Lactobacillus gasseri,308,133.7,4,1,0,0,o,C_CYTO
WP_144772537.1,Lactobacillus gasseri,308,130.7,15,0,0,0,o,C_CYTO
WP_144855709.1,Lactobacillus crispatus,313,125.2,7,0,0,0,o,C_CYTO
WP_146282715.1,Lactobacillus johnsonii,312,127.3,2,0,0,0,o,C_CYTO
WP_146955141.1,Latilactobacillus curvatus,382,196.5,1,1,0,0,o,C_CYTO
WP_147011099.1,Leuconostoc mesenteroides,380,132.0,1,0,1,0,i12-29o,A_TM
WP_148223969.1,Companilactobacillus farciminis,349,205.0,1,1,0,Y,n2-10c16/17o,B_SP
WP_148238555.1,Lactobacillus crispatus,313,127.1,8,0,0,0,o,C_CYTO
WP_148421438.1,Lactobacillus johnsonii,308,128.5,5,0,0,0,o,C_CYTO
WP_149333452.1,Leuconostoc citreum,378,151.3,1,0,1,0,i12-35o,A_TM
WP_150279787.1,Leuconostoc mesenteroides,380,132.7,1,0,1,0,i12-29o,A_TM
WP_150352802.1,Lactobacillus crispatus,313,124.4,3,0,0,0,o,C_CYTO
WP_151494198.1,Lacticaseibacillus paracasei,385,192.2,4,0,1,0,i7-28o,A_TM
WP_152705317.1,Lactiplantibacillus pentosus,397,740.7,78,1,1,0,i12-32o,A_TM
WP_153384431.1,Companilactobacillus halodurans,358,200.5,2,1,0,Y,n4-15c25/26o,B_SP
WP_158106647.1,Companilactobacillus bobalius,358,193.6,1,0,0,Y,n5-16c23/24o,B_SP
WP_158172824.1,Lactobacillus johnsonii,308,127.5,1,0,0,0,o,C_CYTO
WP_158182164.1,Lactobacillus crispatus,313,130.4,1,0,0,0,o,C_CYTO
WP_158191883.1,Leuconostoc citreum,378,154.5,2,0,1,0,i12-35o,A_TM
WP_159205718.1,Pediococcus acidilactici,382,178.2,41,1,0,Y,n9-20c24/25o,B_SP
WP_159208324.1,Pediococcus acidilactici,382,169.4,7,0,0,Y,n9-20c24/25o,B_SP
WP_159210872.1,Pediococcus acidilactici,382,173.1,12,0,0,Y,n9-20c24/25o,B_SP
WP_159213386.1,Pediococcus acidilactici,382,172.8,1,1,0,Y,n9-20c24/25o,B_SP
WP_159215750.1,Pediococcus acidilactici,382,170.3,35,0,0,Y,n9-20c24/25o,B_SP
WP_159216416.1,Pediococcus acidilactici,382,179.0,3,0,0,Y,n9-20c24/25o,B_SP
WP_159234244.1,Pediococcus pentosaceus,367,150.6,10,0,0,Y,n7-19c27/28o,B_SP
WP_159250889.1,Pediococcus pentosaceus,367,148.6,21,1,0,Y,n7-19c27/28o,B_SP
WP_159253723.1,Pediococcus pentosaceus,374,161.1,1,0,0,Y,n10-18c23/24o,B_SP
WP_159258237.1,Lactiplantibacillus pentosus,391,726.1,3,1,0,Y,n6-17c21/22o,B_SP
WP_159290485.1,Pediococcus pentosaceus,374,152.8,1,1,0,Y,n10-18c23/24o,B_SP
WP_160185641.1,Pediococcus acidilactici,382,174.4,5,1,0,Y,n9-20c24/25o,B_SP
WP_160811078.1,Lactobacillus crispatus,313,123.8,6,0,0,0,o,C_CYTO
WP_162013304.1,Pediococcus acidilactici,382,169.7,1,0,0,Y,n9-20c24/25o,B_SP
WP_162014231.1,Lactobacillus paragasseri,308,133.2,3,0,0,0,o,C_CYTO
WP_162937025.1,Lactiplantibacillus pentosus,397,741.1,9,0,1,0,i12-32o,A_TM
WP_163627290.1,Lactiplantibacillus plantarum,397,830.4,1,0,1,0,i12-32o,A_TM
WP_164886050.1,Lactiplantibacillus plantarum,397,863.2,4,0,1,0,i12-32o,A_TM
WP_165709033.1,Lactobacillus helveticus,314,127.0,1,0,0,0,o,C_CYTO
WP_165847181.1,Lacticaseibacillus paracasei,385,190.0,2,1,1,0,i7-28o,A_TM
WP_165860611.1,Lactiplantibacillus pentosus,397,741.6,4,0,1,0,i12-32o,A_TM
WP_167779403.1,Enterococcus faecium,386,133.2,2,1,1,0,i12-33o,A_TM
WP_167850556.1,Lactiplantibacillus plantarum,397,830.5,1,0,1,0,i12-32o,A_TM
WP_170088446.1,Lactobacillus johnsonii,308,126.0,1,0,0,0,o,C_CYTO
WP_172475944.1,Lactobacillus johnsonii,308,130.3,1,1,0,0,o,C_CYTO
WP_172981846.1,Lactobacillus helveticus,314,127.2,2,1,0,0,o,C_CYTO
WP_172983487.1,Lactobacillus helveticus,314,127.1,6,0,0,0,o,C_CYTO
WP_172985027.1,Lactobacillus helveticus,314,123.6,1,1,0,0,o,C_CYTO
WP_172992881.1,Lactobacillus helveticus,314,126.7,4,1,0,0,o,C_CYTO
WP_172993067.1,Lactobacillus helveticus,314,128.3,7,0,0,0,o,C_CYTO
WP_172994127.1,Lactobacillus helveticus,314,127.6,4,0,0,0,o,C_CYTO
WP_172996016.1,Lactobacillus helveticus,314,126.9,1,0,0,0,o,C_CYTO
WP_172996560.1,Lactobacillus helveticus,314,127.5,1,0,0,0,o,C_CYTO
WP_172998633.1,Lactobacillus helveticus,314,126.8,4,1,0,0,o,C_CYTO
WP_173000347.1,Lactobacillus helveticus,314,126.6,4,1,0,0,o,C_CYTO
WP_173001761.1,Lactobacillus helveticus,314,127.5,1,0,0,0,o,C_CYTO
WP_173022014.1,Lactiplantibacillus plantarum,397,827.7,1,0,1,0,i12-32o,A_TM
WP_173959235.1,Lacticaseibacillus paracasei,401,200.1,1,0,1,0,i12-34o,A_TM
WP_173975342.1,Enterococcus faecalis,388,176.4,2,0,1,0,i12-32o,A_TM
WP_174090028.1,Enterococcus faecalis,388,177.9,1,0,1,0,i12-32o,A_TM
WP_176817923.1,Lacticaseibacillus rhamnosus,386,201.2,1,0,0,Y,n10-21c27/28o,B_SP
WP_176933128.1,Pediococcus pentosaceus,367,147.6,1,0,0,Y,n7-19c27/28o,B_SP
WP_180808316.1,Lactobacillus crispatus,313,122.5,1,0,0,0,o,C_CYTO
WP_180861195.1,Lactobacillus crispatus,313,127.2,1,0,0,0,o,C_CYTO
WP_180874126.1,Lactobacillus johnsonii,312,130.7,1,1,0,0,o,C_CYTO
WP_181185834.1,Lactiplantibacillus pentosus,397,739.2,8,0,1,0,i12-32o,A_TM
WP_182083150.1,Companilactobacillus pabuli,358,199.8,3,1,0,Y,n5-16c25/26o,B_SP
WP_186268759.1,Lactiplantibacillus plantarum,397,863.6,1,0,1,0,i12-32o,A_TM
WP_187338213.1,Lactiplantibacillus plantarum,397,830.1,1,0,1,0,i12-32o,A_TM
WP_188434240.1,Lacticaseibacillus rhamnosus,386,200.2,1,0,0,Y,n10-21c27/28o,B_SP
WP_188905770.1,Lactobacillus crispatus,313,127.6,1,0,0,0,o,C_CYTO
WP_192211636.1,Enterococcus faecalis,388,178.9,1,0,1,0,i12-32o,A_TM
WP_193136982.1,Lacticaseibacillus paracasei,385,192.0,1,0,1,0,i7-28o,A_TM
WP_194853388.1,Lacticaseibacillus paracasei,385,190.1,4,1,1,0,i7-28o,A_TM
WP_195212268.1,Lactobacillus paragasseri,308,132.1,1,0,0,0,o,C_CYTO
WP_195701202.1,Companilactobacillus futsaii,358,199.6,2,1,0,Y,n5-16c25/26o,B_SP
WP_195749096.1,Pediococcus pentosaceus,374,160.1,8,0,0,Y,n10-18c23/24o,B_SP
WP_195750133.1,Pediococcus pentosaceus,374,160.8,1,0,0,Y,n10-18c23/24o,B_SP
WP_195751356.1,Pediococcus pentosaceus,367,147.1,3,1,1,0,i7-24o,A_TM
WP_195752330.1,Pediococcus pentosaceus,374,161.6,1,0,0,Y,n10-18c23/24o,B_SP
WP_195752981.1,Pediococcus pentosaceus,374,156.1,1,0,0,Y,n10-18c23/24o,B_SP
WP_195923045.1,Lactobacillus crispatus,314,116.6,1,1,0,0,o,C_CYTO
WP_198468759.1,Pediococcus pentosaceus,374,157.2,2,0,0,Y,n10-18c23/24o,B_SP
WP_198563527.1,Lactobacillus crispatus,313,129.6,2,0,0,0,o,C_CYTO
WP_198564044.1,Lactobacillus crispatus,313,123.9,1,0,0,0,o,C_CYTO
WP_198564720.1,Lactobacillus crispatus,313,121.2,1,0,0,0,o,C_CYTO
WP_198566181.1,Lactobacillus crispatus,313,128.3,1,0,0,0,o,C_CYTO
WP_198566786.1,Lactobacillus crispatus,313,127.5,2,0,0,0,o,C_CYTO
WP_200972579.1,Leuconostoc citreum,378,155.4,1,0,1,0,i12-35o,A_TM
WP_202239436.1,Companilactobacillus zhachilii,358,222.0,1,1,0,Y,n4-16c25/26o,B_SP
WP_202959794.1,Lacticaseibacillus paracasei,385,190.8,3,1,1,0,i7-28o,A_TM
WP_204148315.1,Lacticaseibacillus rhamnosus,386,199.9,1,0,0,Y,n10-21c27/28o,B_SP
WP_204230253.1,Pediococcus acidilactici,379,172.9,4,1,0,Y,n9-20c28/29o,B_SP
WP_204777202.1,Lactobacillus crispatus,313,123.0,2,0,0,0,o,C_CYTO
WP_205608332.1,Lactobacillus acidophilus,313,125.3,3,0,0,0,o,C_CYTO
WP_205840966.1,Lactobacillus helveticus,314,127.1,2,0,0,0,o,C_CYTO
WP_208663268.1,Lactiplantibacillus plantarum,397,831.0,2,0,1,0,i12-32o,A_TM
WP_211638672.1,Leuconostoc mesenteroides,380,136.4,1,1,1,0,i12-29o,A_TM
WP_211755954.1,Levilactobacillus brevis,392,271.0,2,1,0,Y,n5-16c23/24o,B_SP
WP_211757588.1,Lactiplantibacillus plantarum,397,863.3,5,0,1,0,i12-32o,A_TM
WP_213950237.1,Lacticaseibacillus rhamnosus,386,199.2,2,0,0,Y,n10-21c27/28o,B_SP
WP_214464220.1,Levilactobacillus brevis,392,271.0,1,0,0,Y,n5-16c23/24o,B_SP
WP_215649025.1,Lacticaseibacillus paracasei,385,190.9,1,1,1,0,i7-28o,A_TM
WP_216513152.1,Lactobacillus johnsonii,312,133.1,1,0,0,0,o,C_CYTO
WP_216684903.1,Lacticaseibacillus paracasei,385,191.0,2,0,1,0,i7-28o,A_TM
WP_216770050.1,Leuconostoc citreum,378,152.2,1,0,1,0,i12-35o,A_TM
WP_216871148.1,Lactobacillus helveticus,314,127.0,1,1,0,0,o,C_CYTO
WP_218391433.1,Enterococcus faecalis,388,179.9,1,1,1,0,i12-32o,A_TM
WP_218674246.1,Lactobacillus crispatus,313,124.1,3,1,0,0,o,C_CYTO
WP_220021858.1,Lactobacillus helveticus,314,127.0,2,0,0,0,o,C_CYTO
WP_220023168.1,Lactobacillus helveticus,314,124.9,4,1,0,0,o,C_CYTO
WP_220024589.1,Lactobacillus helveticus,314,128.0,1,0,0,0,o,C_CYTO
WP_220028926.1,Lactobacillus helveticus,314,126.1,1,1,0,0,o,C_CYTO
WP_220075541.1,Enterococcus faecium,386,135.0,1,0,1,0,i12-35o,A_TM
WP_220171829.1,Lactobacillus johnsonii,308,124.7,2,0,0,0,o,C_CYTO
WP_220444351.1,Pediococcus acidilactici,382,167.8,9,0,0,Y,n9-20c24/25o,B_SP
WP_221276260.1,Latilactobacillus curvatus,382,199.1,1,0,0,0,o,C_CYTO
WP_222669699.1,Pediococcus acidilactici,382,175.7,1,0,0,Y,n9-20c24/25o,B_SP
WP_223316062.1,Latilactobacillus curvatus,379,195.8,1,0,0,0,o,C_CYTO
WP_223316225.1,Leuconostoc mesenteroides,380,134.2,1,0,1,0,i12-29o,A_TM
WP_223320025.1,Leuconostoc mesenteroides,380,137.3,2,0,1,0,i12-29o,A_TM
WP_224428833.1,Pediococcus acidilactici,379,175.0,1,1,0,Y,n9-22c26/27o,B_SP
WP_224429856.1,Lactobacillus amylovorus,313,135.0,1,0,0,0,o,C_CYTO
WP_225418284.1,Companilactobacillus mishanensis,372,209.5,3,1,0,Y,n7-17c29/30o,B_SP
WP_225420968.1,Companilactobacillus keshanensis,359,214.7,2,1,0,Y,n4-13c18/19o,B_SP
WP_225868761.1,Companilactobacillus kimchii,362,194.0,1,0,0,Y,n5-16c23/24o,B_SP
WP_225972208.1,Companilactobacillus allii,374,191.7,3,1,0,Y,n8-18c28/29o,B_SP
WP_229564290.1,Pediococcus pentosaceus,380,159.4,2,0,1,0,i12-32o,A_TM
WP_229564466.1,Pediococcus pentosaceus,357,138.2,1,1,1,0,i7-25o,A_TM
WP_232298605.1,Companilactobacillus ginsenosidimutans,370,223.1,1,1,0,Y,n7-18c29/30o,B_SP
WP_232805105.1,Lactobacillus crispatus,313,127.6,1,0,0,0,o,C_CYTO
WP_233758787.1,Levilactobacillus brevis,381,266.3,1,0,0,Y,n5-16c23/24o,B_SP
WP_235020579.1,Pediococcus pentosaceus,380,158.5,3,1,1,0,i12-32o,A_TM
WP_235805153.1,Companilactobacillus tucceti,359,224.0,1,1,0,Y,n4-15c24/25o,B_SP
WP_235806597.1,Companilactobacillus farciminis,358,204.8,4,1,0,Y,n5-16c25/26o,B_SP
WP_236119751.1,Pediococcus acidilactici,379,168.2,1,1,0,Y,n9-20c24/25o,B_SP
WP_236585130.1,Companilactobacillus farciminis,358,203.6,2,0,0,Y,n5-16c25/26o,B_SP
WP_236743815.1,Lactobacillus helveticus,298,127.2,1,1,0,0,o,C_CYTO
WP_236945250.1,Lactiplantibacillus plantarum,333,655.0,1,1,0,Y,n6-17c21/22o,B_SP
WP_238333648.1,Companilactobacillus mishanensis,322,208.9,1,1,0,0,o,C_CYTO
WP_238704021.1,Companilactobacillus mishanensis,372,208.9,1,0,0,Y,n7-17c29/30o,B_SP
WP_239961129.1,Pediococcus pentosaceus,367,148.6,1,1,1,0,i5-23o,A_TM
WP_241531634.1,Pediococcus acidilactici,382,174.2,2,0,0,Y,n9-20c24/25o,B_SP
WP_242079870.1,Lactobacillus amylovorus,313,128.1,1,1,0,0,o,C_CYTO
WP_243709227.1,Pediococcus pentosaceus,380,158.4,1,0,1,0,i12-32o,A_TM
WP_248003867.1,Pediococcus acidilactici,378,174.4,1,1,0,Y,n5-16c20/21o,B_SP
WP_248610276.1,Leuconostoc citreum,378,153.1,5,0,1,0,i12-35o,A_TM
WP_249399049.1,Pediococcus pentosaceus,295,138.8,1,1,0,0,o,C_CYTO
WP_249489206.1,Enterococcus faecium,386,136.8,1,0,1,0,i12-35o,A_TM
WP_250800478.1,Latilactobacillus curvatus,388,201.1,2,1,0,Y,n4-15c27/28o,B_SP
WP_250824461.1,Latilactobacillus sakei,383,174.7,1,1,0,Y,n8-19c37/38o,B_SP
WP_251911309.1,Lactobacillus gasseri,308,131.7,1,0,0,0,o,C_CYTO
WP_251912626.1,Lactobacillus paragasseri,308,134.6,1,0,0,0,o,C_CYTO
WP_251919772.1,Leuconostoc mesenteroides,380,133.6,1,0,1,0,i12-29o,A_TM
WP_251923606.1,Leuconostoc mesenteroides,380,136.1,14,0,1,0,i12-29o,A_TM
WP_251924889.1,Pediococcus pentosaceus,374,161.4,1,0,0,Y,n10-18c23/24o,B_SP
WP_251930892.1,Latilactobacillus sakei,383,174.4,1,1,1,0,o6-25i,A_TM
WP_251950273.1,Pediococcus pentosaceus,380,156.2,1,1,1,0,i12-32o,A_TM
WP_251974057.1,Pediococcus pentosaceus,374,160.2,1,0,0,Y,n10-18c23/24o,B_SP
WP_252133153.1,Lactiplantibacillus pentosus,391,727.9,1,1,0,Y,n6-17c21/22o,B_SP
WP_252444807.1,Lactobacillus helveticus,314,127.2,1,0,0,0,o,C_CYTO
WP_253345668.1,Leuconostoc citreum,378,155.0,2,0,1,0,i12-35o,A_TM
WP_254670834.1,Latilactobacillus curvatus,382,199.3,6,0,0,0,o,C_CYTO
WP_254671489.1,Latilactobacillus curvatus,382,195.4,4,0,0,0,o,C_CYTO
WP_254676592.1,Latilactobacillus curvatus,382,199.4,1,0,0,0,o,C_CYTO
WP_254677157.1,Latilactobacillus curvatus,382,201.1,1,0,0,0,o,C_CYTO
WP_256323108.1,Lactobacillus paragasseri,308,133.7,1,0,0,0,o,C_CYTO
WP_256971087.1,Leuconostoc citreum,378,148.9,1,0,1,0,i12-35o,A_TM
WP_257069365.1,Pediococcus pentosaceus,372,149.2,2,1,0,Y,n4-22c26/27o,B_SP
WP_259683183.1,Lactiplantibacillus pentosus,391,727.7,1,0,0,Y,n6-17c21/22o,B_SP
WP_259684213.1,Lactobacillus helveticus,314,126.4,1,0,0,0,o,C_CYTO
WP_259766434.1,Pediococcus pentosaceus,369,149.7,1,1,1,0,o6-24i,A_TM
WP_260149337.1,Latilactobacillus curvatus,382,197.3,2,0,0,0,o,C_CYTO
WP_260158559.1,Levilactobacillus brevis,392,274.1,2,0,0,Y,n5-16c23/24o,B_SP
WP_260166190.1,Leuconostoc mesenteroides,380,135.3,3,1,1,0,i12-29o,A_TM
WP_260167129.1,Leuconostoc mesenteroides,380,135.0,1,0,1,0,i12-29o,A_TM
WP_260182955.1,Lacticaseibacillus paracasei,401,197.0,1,0,1,0,i12-34o,A_TM
WP_260184168.1,Lacticaseibacillus paracasei,385,190.3,2,0,1,0,i7-28o,A_TM
WP_260205704.1,Lactobacillus acidophilus,313,128.9,2,1,0,0,o,C_CYTO
WP_260206880.1,Lacticaseibacillus rhamnosus,386,200.3,1,0,0,Y,n10-21c27/28o,B_SP
WP_260209020.1,Lactiplantibacillus pentosus,391,727.9,1,0,0,Y,n6-17c21/22o,B_SP
WP_260211872.1,Lactobacillus amylovorus,313,132.6,1,0,0,0,o,C_CYTO
WP_260240587.1,Levilactobacillus brevis,392,272.3,3,0,0,Y,n5-16c23/24o,B_SP
WP_260254570.1,Levilactobacillus brevis,392,273.6,2,1,0,Y,n5-16c23/24o,B_SP
WP_260309713.1,Lactobacillus helveticus,314,124.4,1,0,0,0,o,C_CYTO
WP_260339521.1,Lacticaseibacillus paracasei,401,192.9,1,1,1,0,i12-31o,A_TM
WP_260512259.1,Enterococcus faecium,386,136.6,1,1,1,0,i12-35o,A_TM
WP_261648525.1,Leuconostoc mesenteroides,380,132.3,1,0,1,0,i12-29o,A_TM
WP_262274571.1,Lactobacillus amylovorus,313,129.5,1,1,0,0,o,C_CYTO
WP_263297972.1,Lactobacillus johnsonii,308,128.0,1,0,0,0,o,C_CYTO
WP_265169797.1,Enterococcus faecium,389,150.1,1,1,1,0,i12-38o,A_TM
WP_265579615.1,Latilactobacillus curvatus,388,197.7,1,0,0,Y,n4-15c27/28o,B_SP
WP_265668911.1,Lactobacillus amylovorus,313,129.8,1,0,0,0,o,C_CYTO
WP_269258322.1,Lactobacillus crispatus,313,127.9,9,0,0,0,o,C_CYTO
WP_269315168.1,Lactobacillus crispatus,313,125.4,1,0,0,0,o,C_CYTO
WP_270097109.1,Levilactobacillus brevis,392,270.9,1,0,0,Y,n5-16c23/24o,B_SP
WP_270248078.1,Lactobacillus johnsonii,308,125.1,1,0,0,0,o,C_CYTO
WP_270508120.1,Lactobacillus gasseri,308,127.8,1,0,0,0,o,C_CYTO
WP_270515735.1,Pediococcus acidilactici,382,174.1,3,0,0,Y,n9-20c24/25o,B_SP
WP_270516469.1,Lactobacillus johnsonii,308,124.2,1,1,0,0,o,C_CYTO
WP_270766308.1,Lacticaseibacillus rhamnosus,386,200.0,2,1,0,Y,n7-22c27/28o,B_SP
WP_270781145.1,Lactobacillus amylovorus,313,128.7,11,0,0,0,o,C_CYTO
WP_271031346.1,Lacticaseibacillus paracasei,385,190.7,1,0,1,0,i7-28o,A_TM
WP_271260039.1,Latilactobacillus curvatus,382,196.8,3,1,0,0,o,C_CYTO
WP_271326862.1,Lactobacillus amylovorus,313,130.1,2,0,0,0,o,C_CYTO
WP_271862694.1,Lactobacillus amylovorus,313,129.3,5,0,0,0,o,C_CYTO
WP_271864309.1,Lactobacillus amylovorus,313,128.3,5,0,0,0,o,C_CYTO
WP_271867993.1,Lactobacillus amylovorus,313,127.3,5,1,0,0,o,C_CYTO
WP_271868596.1,Lactobacillus amylovorus,313,131.8,2,0,0,0,o,C_CYTO
WP_271872884.1,Lactobacillus amylovorus,313,130.8,1,0,0,0,o,C_CYTO
WP_271892379.1,Lactobacillus amylovorus,313,129.4,1,1,0,0,o,C_CYTO
WP_271897572.1,Lactobacillus amylovorus,313,128.7,1,0,0,0,o,C_CYTO
WP_272529600.1,Lactiplantibacillus pentosus,391,726.3,3,0,0,Y,n6-17c21/22o,B_SP
WP_273707967.1,Leuconostoc mesenteroides,380,135.0,4,0,1,0,i12-29o,A_TM
WP_273709926.1,Leuconostoc mesenteroides,380,136.8,1,1,1,0,i12-29o,A_TM
WP_273715019.1,Leuconostoc mesenteroides,380,134.0,1,0,1,0,i12-29o,A_TM
WP_273727054.1,Leuconostoc mesenteroides,380,134.6,2,1,1,0,i12-29o,A_TM
WP_273729027.1,Leuconostoc mesenteroides,380,134.6,1,1,1,0,i12-29o,A_TM
WP_273750490.1,Leuconostoc mesenteroides,380,132.2,1,0,1,0,i12-29o,A_TM
WP_273949847.1,Leuconostoc mesenteroides,380,135.0,1,0,1,0,i12-29o,A_TM
WP_274583646.1,Pediococcus acidilactici,382,174.4,1,0,0,Y,n9-20c24/25o,B_SP
WP_274765445.1,Companilactobacillus crustorum,358,200.6,1,1,0,Y,n4-16c25/26o,B_SP
WP_274805302.1,Lacticaseibacillus rhamnosus,386,200.1,1,1,0,Y,n10-21c27/28o,B_SP
WP_274984666.1,Lactobacillus crispatus,313,126.5,1,0,0,0,o,C_CYTO
WP_276551260.1,Lactiplantibacillus paraplantarum,397,814.0,2,0,1,0,i12-32o,A_TM
WP_277847711.1,Latilactobacillus curvatus,382,198.9,1,1,0,Y,n2-13c21/22o,B_SP
WP_277858108.1,Latilactobacillus curvatus,382,199.6,1,1,0,0,o,C_CYTO
WP_277892636.1,Enterococcus faecium,386,136.7,1,0,1,0,i12-35o,A_TM
WP_283254481.1,Lactobacillus johnsonii,308,126.8,1,1,0,0,o,C_CYTO
WP_283534192.1,Latilactobacillus curvatus,382,196.8,1,1,0,0,o,C_CYTO
WP_285029495.1,Lactobacillus paragasseri,308,129.6,3,0,0,0,o,C_CYTO
WP_289228490.1,Enterococcus faecium,386,135.2,1,0,1,0,i12-35o,A_TM
WP_289429108.1,Lacticaseibacillus paracasei,401,198.1,2,1,1,0,i12-34o,A_TM
WP_289442710.1,Lacticaseibacillus paracasei,390,187.5,1,0,1,0,i7-28o,A_TM
WP_289442890.1,Lacticaseibacillus paracasei,385,190.7,1,0,1,0,i7-28o,A_TM
WP_289571858.1,Lactobacillus crispatus,313,127.0,1,0,0,0,o,C_CYTO
WP_290249034.1,Latilactobacillus sakei,383,174.5,2,0,0,Y,n8-19c37/38o,B_SP
WP_291468576.1,Companilactobacillus sp.,371,230.2,14,1,0,Y,n7-18c30/31o,B_SP
WP_297586015.1,Lactobacillus johnsonii,312,125.7,1,0,0,0,o,C_CYTO
WP_300560050.1,Companilactobacillus sp.,371,229.2,1,1,0,Y,n7-18c30/31o,B_SP
WP_300734687.1,Lactobacillus johnsonii,308,123.4,1,0,0,0,o,C_CYTO
WP_302512251.1,Enterococcus faecalis,388,178.2,1,0,1,0,i12-32o,A_TM
WP_305035333.1,Lactiplantibacillus pentosus,391,727.8,1,0,0,Y,n6-17c21/22o,B_SP
WP_305867096.1,Enterococcus faecium,386,129.5,1,0,1,0,i12-35o,A_TM
WP_308200359.1,Lactiplantibacillus paraplantarum,397,812.7,1,0,1,0,i12-32o,A_TM
WP_308902957.1,Latilactobacillus curvatus,379,194.2,2,0,0,0,o,C_CYTO
WP_309510839.1,Companilactobacillus paralimentarius,358,191.6,1,0,0,Y,n5-16c23/24o,B_SP
WP_310652148.1,Lactobacillus jensenii,311,111.0,1,0,0,0,o,C_CYTO
WP_311317902.1,Lactiplantibacillus pentosus,397,739.3,1,0,1,0,i12-32o,A_TM
WP_313814903.1,Latilactobacillus curvatus,392,199.6,1,1,0,Y,n8-19c31/32o,B_SP
WP_313931672.1,Lactiplantibacillus pentosus,391,726.3,2,0,0,Y,n6-17c21/22o,B_SP
WP_314757025.1,Lactobacillus johnsonii,312,125.9,2,1,0,0,o,C_CYTO
WP_315943827.1,Lactobacillus johnsonii,308,126.7,8,0,0,0,o,C_CYTO
WP_316079368.1,Lacticaseibacillus paracasei,387,191.6,1,0,1,0,i7-28o,A_TM
WP_317051789.1,Pediococcus acidilactici,379,173.7,2,0,0,Y,n9-22c26/27o,B_SP
WP_317763635.1,Leuconostoc mesenteroides,380,138.5,1,1,1,0,i12-29o,A_TM
WP_318154280.1,Enterococcus faecium,386,138.1,7,0,1,0,i12-35o,A_TM
WP_319494284.1,Lactobacillus paragasseri,308,131.4,2,0,0,0,o,C_CYTO
WP_320879405.1,Leuconostoc citreum,378,154.0,2,0,1,0,i12-35o,A_TM
WP_321572832.1,Lactobacillus helveticus,314,125.8,1,0,0,0,o,C_CYTO
WP_323678667.1,Lactobacillus johnsonii,308,121.8,3,0,0,0,o,C_CYTO
WP_323702297.1,Lactobacillus johnsonii,308,120.7,6,0,0,0,o,C_CYTO
WP_325070846.1,Pediococcus pentosaceus,302,140.0,1,1,0,0,o,C_CYTO
WP_327079330.1,Pediococcus pentosaceus,369,150.2,3,0,0,Y,n7-19c27/28o,B_SP
WP_331218961.1,Pediococcus pentosaceus,367,145.0,1,1,1,0,i7-24o,A_TM
WP_331220027.1,Pediococcus pentosaceus,367,144.9,1,1,1,0,i7-24o,A_TM
WP_331237200.1,Lacticaseibacillus paracasei,401,198.8,1,1,1,0,i12-34o,A_TM
WP_333491282.1,Lactobacillus johnsonii,308,120.2,2,0,0,0,o,C_CYTO
WP_334328931.1,Companilactobacillus sp.,372,198.5,1,1,0,Y,n7-18c29/30o,B_SP
